,condition,distance_between_original_user_in_percentage
mLtgnDCCRujKCHfaO8Ud,Calibration,1.1428124565219995
mW9078SdNjiF0hYdxQnD,Calibration,5.0447185075791054
mY0OhhY5TLnIuAwTfQLZ,Calibration,6.306113547279338
mgUtS5g6Hq7Kmas44HvR,Calibration,1.0080166781095048
miI5sbdZO2UUDHgSX1iS,Calibration,4.20668061007177
mkDlBgMHEDggHXqWiKqu,Calibration,5.720091362093511
ml9V9Eyd54gL8GUXgR4O,Calibration,0.7225881444703706
mtgQodQSctsmjV54s4qg,Calibration,1.1900158459918346
nTCW0YQAahVlUvyqpmeg,Calibration,5.11582037878224
nToqPyLIw1KftW5Ovsgy,Calibration,1.3293416624368817
o6fnliC8p27ZYri2hdCM,Calibration,0.3771010382238357
oWcUuqwOwwvzfIBj9Db9,Calibration,2.765728840726495
onHjA81EAzUxhpGAa5Cz,Calibration,1.85530519577242
p08VWid4HtshJRkREqPG,Calibration,2.0172933255662153
p8OMVSEdqy5VALBLIQO0,Calibration,1.8935427209984894
pCirW44wtlUoNhzDUEHq,Calibration,3.046707353282945
pFGMDPWtz3EKnw1gBYNx,Calibration,0.3277686500145539
pXh16jLKSeS8g2h99FcK,Calibration,6.074626747192198
pZ2ldjak7GVsczKkP310,Calibration,4.798334090433067
phdkRvEGBQgqTefNbnrb,Calibration,1.299536245597994
qD4ggQJTibCyesLmTHkV,Calibration,0.5710159942712716
qlSKLv9LAHXBTOqCfCWv,Calibration,0.9521501239148954
quc4nLpf2Y2rhAEZzNDO,Calibration,0.1477104874446078
rhDAORXAAPZcm5DTp807,Calibration,2.8058108339777137
rj7ufrXF6kQKlZgn7kor,Calibration,1.5526700902196013
roCnZk1CIg37nViGtaqx,Calibration,0.6592826877418684
s0OZIDJX3fTg0CXCaT1r,Calibration,2.419062921491982
s19wxz4QzUjYoicmrbzW,Calibration,1.9136506642578697
s74qe3varX2qgIV2yWY9,Calibration,6.89902228597101
sA27qhl4APS6gTWEPH4B,Calibration,5.767431585896586
t6I3QNCAmEEHssb7u0XY,Calibration,3.5386976927659095
tAIyRuqJDIvpLyULSZ83,Calibration,1.8193983975264398
tD81uA5t5p0f2Pnfq5Da,Calibration,0.4858525333123838
tfGx0ps9sFTOlbMr4vI9,Calibration,2.8063151669487567
tkVT3dPrVjDnPMWKL0zX,Calibration,2.455337599984069
tmopTAtCrndWqdmBntEi,Calibration,0.10405827263267886
tuVeo6CoGyI8bNuRXNSH,Calibration,3.1334181809209465
twi5Pfd340AdF0a4reaK,Calibration,2.2015322757835643
u8CuXsEShVpIswOil7dm,Calibration,3.059877549776857
uQ2C97jdu46khErLwrCl,Calibration,3.093630693297107
udS0qRO9kqUqwWFVdcbh,Calibration,4.741263068641166
uf0SZSSdfbPzDvQ1cZci,Calibration,3.428437369565974
un82qEikBXFdhSNkRc19,Calibration,3.5405686077657776
uyzZZBbOruAolbqfIPUv,Calibration,0.7304645801619275
v81bnxpf1dVpNAnicB7z,Calibration,3.3217099623194786
vLVCQlNxdw0ZIgYg53j9,Calibration,3.5606109015196243
vYVnSM4DuVVDmJoMiSUx,Calibration,0.2358490566037763
vfS2kcDtsU6WfHDrKVZW,Calibration,3.5459020638082315
vyCSDc8YGtzvKAFQXY0T,Calibration,2.1162067140146084
w5i5zqftiWBCGyAmg52m,Calibration,2.7548811953224575
wAiLj16DywN173yR4rLd,Calibration,2.115093972512252
wHETEdv4bYpVefISyCXy,Calibration,0.9969413166056201
wMRoirbsh5YAP9bMnFeU,Calibration,1.2679027289819618
wMaSc7PtIPWazOBWRAKr,Calibration,3.257473498408954
wQSjvYuLPFHr5idG8f0X,Calibration,1.7027919025404625
wTJW1RXVVAgMCn5wqPWQ,Calibration,0.3194888178913724
wW55Eo0HtCbcwhu3w3gk,Calibration,4.2775735604201115
wbVJMVXYw8sAoVsfaJh3,Calibration,1.5051212839685282
wgyliIOpzXynCz4dbNh2,Calibration,1.2842549137468728
wnz2MOvdcjJIcjpgMJfz,Calibration,3.66550679704455
xDWz6Uibz2HiivyudRAy,Calibration,1.747126388229743
xF1ZY3poCkUpb0NLRaZe,Calibration,2.7046063393287736
xOmHEAS6H8oNM9Oc0xZQ,Calibration,10.156168704149138
xPezobTs5WztueUpBN70,Calibration,1.4610928957830696
xesq9mvo0E0e2gSEkitA,Calibration,3.39711838105616
xgevc83QzplSLswZ2h26,Calibration,2.504472271914132
y6V2fNkgnTyDwQkQbiWP,Calibration,0.7942238532265826
yWqXC9O35PKnCBcba7N8,Calibration,2.4512390563048947
ycIkz5EVIc7NOfG05LEJ,Calibration,4.040397993659019
ygp2BPDrFDkL402S01PT,Calibration,3.7759699095372614
yh7a5vDSQlkHDFUyFLML,Calibration,2.98808063862855
yi1YkllrRxuevNkH722n,Calibration,10.443375910321896
yuHqTcvXCmvmMNMEqOrY,Calibration,2.5783128551390324
z6Y2uowJr0VDTSF99Hit,Calibration,1.9584347817390713
zUxzZABbdf3yiqCU6rga,Calibration,1.4940403193142697
zVfdQWSba465nofpL3n3,Calibration,1.5834358571096683
zYN3XoGF0joXFlNzaXQb,Calibration,3.7264793581944273
zggTwdagSGP9k56VhbkM,Calibration,3.9238848084001186
zh7XluaPjvWwOaUC7KMd,Calibration,0.9836698026517349
zsgJPOqfoZ6qRKJFGHZ4,Calibration,0.9612580954111063
1Kdd3KIiTOBSAYJqiMtm,Calibration,1.737451737451734
2N2DlwPmW1FSJsgEp4jd,Calibration,6.187118214603817
2TbltbHaOVH5P9b29CRt,Calibration,2.9221857915661444
8QfkwiFpLztWirgRPU5Q,Calibration,1.2185549800230935
APYDnd5F1I6cbADfTWE4,Calibration,2.789321741657971
Ay55kZchri3BwtK8L9XN,Calibration,2.6994909518686128
B8SY7HHOcKlNPGqGZcFO,Calibration,1.1811510758768637
BLFVBRmyAEZECuHpTMYc,Calibration,1.2966889853371446
BNe0UU34bDWdgxergx4r,Calibration,2.008850337626055
BVFTbeoaF8aae15NN3xU,Calibration,5.821824519586511
CcSRX1Eyn0nhupie5ntk,Calibration,9.813084197930925
CvOw6LjCN6NcuDCnYckV,Calibration,3.2763986208473006
FVwpZUwytIcKWjtROswI,Calibration,2.1228602295548002
Ifk6xSw63lAGdZTKwUZP,Calibration,2.55283449911966
Iwx7BwtkNxWDXOiHKUTC,Calibration,0.8353002769325204
OeGPlto5TfjkyCXqPiwW,Calibration,1.3779900933693752
PTcPlR1tfFGCRfw1ea4k,Calibration,0.48479239771205135
UbSA5D2AF0WKhbcTgjdG,Calibration,0.21961932650073068
UisWBc8euODpevbtmoha,Calibration,3.020120965551247
WexkvWZzF2yQjWngGsT4,Calibration,3.1145295780523385
YNGiighLvTrJNNYjAcKa,Calibration,2.771307180064162
Z7wATfTsIbM3XN8adE04,Calibration,5.432224398758128
ZYXRJ9paB1Hro8KYibyR,Calibration,3.345476365243093
